"id","country","long_jump","shotput","high_jump","hurdles","javelin","age","sport"
158,"RUS",6.07,14.07,1.74,13.78,39.27,9233,"Heptathlon"
731,"NED",5.73,12.06,1.81,13.9,35.3,8379,"Heptathlon"
525,"RUS",6.99,16.27,2.03,14.85,61.64,11039,"Decathlon"
726,"RUS",6.19,13.38,1.8,13.95,42.59,8720,"Heptathlon"
307,"NED",6.15,15.15,1.83,13.9,42.76,8534,"Heptathlon"
456,"NED",6.81,13.37,1.89,14.61,66.83,8546,"Decathlon"
150,"RUS",6.85,13.07,1.97,15.17,50.33,7944,"Decathlon"
421,"UKR",6.27,13.72,1.8,13.71,48.32,10499,"Heptathlon"
436,"UKR",7.88,14.95,1.97,14.37,50.55,8679,"Decathlon"
159,"RUS",7.17,13.76,1.89,14.67,56.07,8502,"Decathlon"
42,"UKR",6.51,13.25,1.81,13.24,35.9,8552,"Heptathlon"
491,"NED",5.66,12.68,1.84,14.1,48.29,7364,"Heptathlon"
647,"RUS",6.35,12.18,1.8,13.7,50.51,6777,"Heptathlon"
237,"NED",7.56,14.06,2.01,14.63,61.66,8828,"Decathlon"
597,"RUS",7.28,14.67,1.92,14.95,57.94,8968,"Decathlon"
173,"NED",7.34,14.01,1.89,14,58.36,9952,"Decathlon"
52,"RUS",6.45,14.08,1.86,13.09,35.41,8700,"Heptathlon"
12,"RUS",6.05,13.62,1.74,14.28,40.51,9247,"Heptathlon"
148,"UKR",5.97,13,1.75,14.84,38.41,7621,"Heptathlon"
505,"RUS",6.07,13.49,1.84,13.91,44.34,8206,"Heptathlon"
464,"RUS",7.41,13.73,2.18,14.5,52.38,8298,"Decathlon"
168,"RUS",6.3,13.86,1.76,13.86,44.35,9565,"Heptathlon"
11,"RUS",7.02,15.31,2.06,15.84,59.17,9154,"Decathlon"
379,"NED",5.59,14.69,1.68,14.03,46.23,7626,"Heptathlon"
17,"RUS",7.27,16.31,2.12,14.98,63.82,10051,"Decathlon"
265,"UKR",6.24,11.08,1.74,14,40.03,7106,"Heptathlon"
245,"UKR",6,12.45,1.77,13.69,39.13,8507,"Heptathlon"
706,"RUS",6.23,13.85,1.8,14.29,41.67,8080,"Heptathlon"
98,"NED",7.85,14.4,1.97,14.15,55.92,9555,"Decathlon"
323,"EST",6.14,13.1,1.73,14.26,39.26,8835,"Heptathlon"
526,"RUS",7.34,14.75,1.94,15.45,69,7897,"Decathlon"
257,"UKR",6.38,12.44,1.71,14.14,35.32,9753,"Heptathlon"
328,"NED",6.29,12.99,1.77,13.65,36.37,8281,"Heptathlon"
354,"EST",7.11,14.16,1.96,15,56.59,8852,"Decathlon"
147,"RUS",5.8,12.16,1.74,14.29,36.84,8523,"Heptathlon"
13,"RUS",7.57,15.28,2.11,14.54,59.42,8550,"Decathlon"
406,"EST",7.27,15.36,2.06,15.37,63.53,8059,"Decathlon"
501,"RUS",5.98,12.98,1.79,14.48,50.5,7870,"Heptathlon"
235,"EST",7.2,14.62,1.94,14.48,65.89,12314,"Decathlon"
184,"NED",6.71,12.51,1.95,15.45,61.6,7730,"Decathlon"
487,"NED",7.33,14.19,1.89,14.88,60.01,8583,"Decathlon"
443,"EST",6,13.06,1.77,13.78,49.87,9301,"Heptathlon"
355,"EST",7.44,11.8,2.09,15.2,56.01,7154,"Decathlon"
403,"RUS",7.34,12.18,1.97,14.76,42.2,8073,"Decathlon"
390,"RUS",6.18,13.92,1.74,14.49,40.71,7224,"Heptathlon"
183,"EST",7.63,14.9,2.03,14.4,67.01,11366,"Decathlon"
39,"EST",7.45,14.76,2.03,14.05,57.05,10224,"Decathlon"
504,"RUS",6.25,13.55,1.79,13.51,35.23,8432,"Heptathlon"
497,"UKR",6.18,16.14,1.83,13.43,48,10685,"Heptathlon"
53,"RUS",5.77,14.15,1.7,14.39,39.33,7256,"Heptathlon"
16,"RUS",7.26,13.34,1.88,14.9,52.64,7702,"Decathlon"
356,"RUS",7.45,14.35,1.93,14.1,47.24,7810,"Decathlon"
470,"NED",7.29,13.9,2.04,14.37,56.95,8255,"Decathlon"
503,"RUS",7.54,13.31,2.06,14.18,49.88,7330,"Decathlon"
492,"NED",6.16,12.5,1.78,13.4,39.52,7052,"Heptathlon"
435,"UKR",7.24,14.92,1.97,14.68,53.72,9925,"Decathlon"
490,"RUS",6.18,13.32,1.77,14.37,33.52,7674,"Heptathlon"
651,"RUS",6.05,12.1,1.71,14.24,35.2,8215,"Heptathlon"
558,"EST",6.85,13.9,1.86,15.21,55.9,7826,"Decathlon"
236,"EST",6.79,13.79,2.08,14.59,62.08,9565,"Decathlon"
219,"NED",5.82,11.82,1.78,13.71,43.48,8748,"Heptathlon"
55,"RUS",6.39,13.1,1.83,15.14,36.66,8305,"Heptathlon"
24,"RUS",6.68,15.72,1.94,15.76,60.11,9627,"Decathlon"
262,"EST",7.06,13.74,2.03,14.9,71.11,7356,"Decathlon"
21,"UKR",6.08,13.69,1.83,14.53,34.94,7606,"Heptathlon"
67,"NED",6.1,14.78,1.77,13.47,48.42,8591,"Heptathlon"
238,"EST",6.07,12.31,1.76,13.28,43.84,9148,"Heptathlon"
527,"RUS",6.02,12.57,1.77,13.96,39.07,7480,"Heptathlon"
621,"RUS",7.16,14.19,1.94,15.08,64.4,8625,"Decathlon"
631,"RUS",5.53,14.73,1.68,14.35,39.45,11420,"Heptathlon"
263,"RUS",6.24,15.41,1.81,13.84,48.38,10535,"Heptathlon"
622,"UKR",6.92,14.5,1.88,14.74,55.75,9270,"Decathlon"
241,"RUS",6.94,13.25,1.98,15.1,60.15,9018,"Decathlon"
633,"RUS",6.25,11.74,1.79,13.78,32.17,10185,"Heptathlon"
51,"RUS",5.91,14.01,1.78,14.58,45.42,9305,"Heptathlon"
616,"NED",5.89,11.65,1.75,14.04,31.9,7397,"Heptathlon"
260,"RUS",5.64,12.74,1.61,14.21,42.9,9270,"Heptathlon"
604,"UKR",7.49,14.05,2.08,14.46,44.92,10506,"Decathlon"
477,"EST",7,13.38,1.86,15.13,56.59,9530,"Decathlon"
369,"EST",7.13,13.92,1.93,15.13,55.73,7963,"Decathlon"
234,"RUS",7.5,14.09,2.1,14.27,60.99,8996,"Decathlon"
450,"RUS",5.93,13.34,1.79,14.59,42.9,8183,"Heptathlon"
649,"RUS",6.02,14.27,1.86,14.22,41.68,9862,"Heptathlon"
325,"EST",7.42,13.73,2.11,15.27,58.19,8056,"Decathlon"
423,"UKR",6.38,12.92,1.83,13.74,48.43,9068,"Heptathlon"
365,"RUS",6.19,12.18,1.71,14.05,40,6583,"Heptathlon"
430,"RUS",7.25,13.55,1.88,14.71,51.52,11455,"Decathlon"
372,"EST",5.95,14.05,1.72,14.09,52.68,11959,"Heptathlon"
569,"UKR",5.95,12.45,1.66,14.47,38.08,7835,"Heptathlon"
40,"RUS",5.97,12.96,1.83,14.69,43.96,8953,"Heptathlon"
56,"RUS",6.04,13.94,1.69,15.03,49.7,7855,"Heptathlon"
344,"RUS",7.4,16.13,2.03,14.04,58.13,11103,"Decathlon"
714,"RUS",6.33,12.48,1.88,14.01,32.5,8137,"Heptathlon"
